DATE,KYUR,INUR,AKUR,HIUR
1999-09-01,4.400,3.1,6.3,5.0
1999-10-01,4.3,3.1,6.300,4.9
1999-11-01,4.300,3.1,6.2,4.8
1999-12-01,4.200,3.1,6.2,4.7
2000-01-01,4.1,3.1,6.2,4.6
2000-02-01,4.0,3.1,6.2,4.5
2000-03-01,4.0,3.1,6.2,4.4
2000-04-01,4.0,3.1,6.300,4.400
2000-05-01,4.0,3.2,6.300,4.300
2000-06-01,4.100,3.1,6.400,4.3
2000-07-01,4.100,3.0,6.400,4.200
2000-08-01,4.2,3.000,6.400,4.2
2000-09-01,4.200,2.900,6.400,4.100
2000-10-01,4.3,2.900,6.400,4.000
2000-11-01,4.300,3.000,6.3,4.000
2000-12-01,4.400,3.100,6.3,4.000
2001-01-01,4.500,3.300,6.2,4.1
2001-02-01,4.600,3.500,6.1,4.100
2001-03-01,4.8,3.700,6.1,4.200
2001-04-01,4.9,3.800,6.1,4.200
2001-05-01,4.900,3.900,6.1,4.1
2001-06-01,5.1,4.0,6.1,4.1
2001-07-01,5.200,4.200,6.2,4.1
2001-08-01,5.4,4.400,6.3,4.2
2001-09-01,5.6,4.700,6.4,4.3
2001-10-01,5.700,4.900,6.500,4.5
2001-11-01,5.9,5.2,6.600,4.7
2001-12-01,5.900,5.300,6.700,4.7
2002-01-01,5.900,5.400,6.800,4.7
2002-02-01,5.9,5.5,6.900,4.5
2002-03-01,5.8,5.400,7.0,4.4
2002-04-01,5.8,5.400,7.1,4.2
2002-05-01,5.7,5.300,7.2,4.1
2002-06-01,5.7,5.200,7.2,4.0
2002-07-01,5.7,5.100,7.2,3.9
2002-08-01,5.7,5.0,7.2,3.9
2002-09-01,5.7,5.000,7.3,3.8
2002-10-01,5.8,5.000,7.3,3.7
2002-11-01,5.9,5.000,7.4,3.700
2002-12-01,5.900,5.000,7.4,3.700
2003-01-01,6.000,5.000,7.5,3.7
2003-02-01,6.100,5.000,7.6,3.7
2003-03-01,6.200,5.100,7.6,3.8
2003-04-01,6.3,5.200,7.7,3.9
2003-05-01,6.4,5.2,7.7,4.0
2003-06-01,6.4,5.3,7.8,4.1
2003-07-01,6.4,5.4,7.8,4.1
2003-08-01,6.300,5.500,7.8,4.1
2003-09-01,6.200,5.4,7.7,4.0
2003-10-01,6.1,5.400,7.7,3.9
2003-11-01,6.0,5.4,7.7,3.8
2003-12-01,5.9,5.4,7.6,3.8
2004-01-01,5.8,5.3,7.6,3.7
2004-02-01,5.700,5.5,7.6,3.6
