"Year","state","fmhpi"
1993,"DE",81.6436694115
1994,"DE",81.80823016225
1995,"DE",82.0260314833333
1996,"DE",82.76658134375
1997,"DE",83.9942355669167
1998,"DE",86.5350165060833
1999,"DE",90.9885895030833
2000,"DE",96.8443934464167
2001,"DE",104.1450741525
2002,"DE",113.5789289075
2003,"DE",126.548667950833
2004,"DE",143.677129509167
2005,"DE",163.3498786675
2006,"DE",174.8606026475
2007,"DE",176.508410105
2008,"DE",167.711248801667
2009,"DE",157.3867196825
2010,"DE",149.7316257725
2011,"DE",141.72905541
2012,"DE",138.606083086667
2013,"DE",143.448860943333
2014,"DE",147.704631843333
2015,"DE",150.523505516667
2016,"DE",153.815894555
2017,"DE",158.3866391475
2018,"DE",165.3016793675
2019,"DE",171.653715475833
2020,"DE",182.193014475833
2021,"DE",205.439824276667
1975,"FL",33.4613200364167
1976,"FL",33.9805653835
1977,"FL",34.7538491160833
1978,"FL",38.6350854743333
1979,"FL",44.0701828888333
1980,"FL",49.9276419623333
1981,"FL",53.6777143865
1982,"FL",58.3335939569167
1983,"FL",59.1354273040833
1984,"FL",60.7516914973333
1985,"FL",61.219382497
1986,"FL",62.9528847953333
1987,"FL",64.88313267025
1988,"FL",67.7302821535833
1989,"FL",70.57377144625
1990,"FL",72.05622363925
1991,"FL",72.3352101691667
1992,"FL",73.20229546975
1993,"FL",74.2009753600833
1994,"FL",76.0852361241667
1995,"FL",77.7003703566667
1996,"FL",79.5487303215833
1997,"FL",81.8204500566667
1998,"FL",84.864293294
1999,"FL",89.4066568714167
2000,"FL",96.2242434020833
2001,"FL",105.711098539167
2002,"FL",117.967317291667
2003,"FL",133.4127002675
2004,"FL",157.7816529525
2005,"FL",200.549138006667
2006,"FL",221.664760615
2007,"FL",206.562895709167
2008,"FL",163.286723229167
2009,"FL",132.799564559167
2010,"FL",125.019781748333
2011,"FL",117.334354339167
2012,"FL",123.843799680833
2013,"FL",139.467005811667
2014,"FL",151.697918783333
2015,"FL",165.656440003333
2016,"FL",181.849950445833
2017,"FL",197.7909130275
2018,"FL",212.1751116275
2019,"FL",222.4181081925
2020,"FL",239.529964781667
2021,"FL",280.343004528889
1975,"GA",29.49627911425
1976,"GA",29.6136850166667
1977,"GA",30.8011416285833
1978,"GA",33.3172463085
1979,"GA",37.0009609241667
1980,"GA",41.0283442911667
1981,"GA",43.92429011125
1982,"GA",46.357881971
1983,"GA",48.4627434039167
1984,"GA",51.1911408775833
1985,"GA",53.90503830425
1986,"GA",57.4814220285
1987,"GA",60.8281895945833
1988,"GA",63.386326191
1989,"GA",65.0279122435833
1990,"GA",65.5738597835833
1991,"GA",65.3708219736667
1992,"GA",66.283555605
1993,"GA",67.8425278276667
1994,"GA",70.2529395056667
1995,"GA",73.0521042101667
1996,"GA",76.3724960493333
1997,"GA",80.06288223225
1998,"GA",85.04994708625
1999,"GA",91.4386296245833
2000,"GA",97.78403301825
2001,"GA",102.674862448333
2002,"GA",107.029656956667
2003,"GA",110.5278728
2004,"GA",115.037607388333
2005,"GA",121.410240935
2006,"GA",127.654884003333
2007,"GA",129.330312053333
2008,"GA",119.357217491667
2009,"GA",107.114255314167
2010,"GA",100.064828115667
2011,"GA",91.971936424
2012,"GA",93.7117829481667
2013,"GA",105.4663495
2014,"GA",114.359463470833
2015,"GA",121.976965039167
2016,"GA",130.201839364167
2017,"GA",139.3086606675
2018,"GA",150.811852146667
2019,"GA",158.628720025833
2020,"GA",171.601509754167
2021,"GA",197.792196596667
1975,"HI",27.5219536864167
1976,"HI",28.08990506
1977,"HI",28.6907069845833
1978,"HI",32.6919624076667
1979,"HI",41.5331763423333
1980,"HI",49.7335120885833
1981,"HI",41.04645740775
1982,"HI",45.3576730834167
1983,"HI",51.3512981724167
1984,"HI",52.2217886435
1985,"HI",52.0592917411667
1986,"HI",55.05872422575
1987,"HI",59.4581344719167
1988,"HI",68.61685532875
1989,"HI",84.3992421124167
1990,"HI",106.686375157417
1991,"HI",115.704915833333
1992,"HI",114.506403731667
1993,"HI",114.005891565
1994,"HI",113.4307124875
1995,"HI",108.4261628525
1996,"HI",103.208780485833
1997,"HI",95.7933872626667
1998,"HI",92.8647225725
1999,"HI",93.3826584848333
2000,"HI",97.24900856225
2001,"HI",104.626877893333
2002,"HI",114.407628520833
2003,"HI",132.490364790833
2004,"HI",163.620759680833
2005,"HI",199.8983391125
2006,"HI",222.619613911667
2007,"HI",224.013243581667
2008,"HI",212.387002093333
2009,"HI",191.8643462725
2010,"HI",189.8486445
2011,"HI",186.464238766667
2012,"HI",193.613271979167
2013,"HI",210.557714658333
2014,"HI",224.543476549167
2015,"HI",234.735793056667
2016,"HI",249.0581707575
2017,"HI",260.728129826667
2018,"HI",271.59160159
2019,"HI",276.584930463333
2020,"HI",285.141697468333
2021,"HI",317.034121105556
1975,"IA",34.4646644455833
1976,"IA",37.9483880540833
1977,"IA",42.71425064825
1978,"IA",48.2271870470833
1979,"IA",52.2929943708333
